Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	abui1241	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No		nan	0:No;1:Yes	
SD10_1	abui1241	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	abui1241	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		nan	0:No;1:Yes	
SD10_3	abui1241	Is the ritual language known by everyone (or just by traditional leaders)?	0	No		nan	0:No;1:Yes	
SD10_4	abui1241	Are there ritual songs?	1	Yes		nan	1:Yes	
SD10_5	abui1241	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	abui1241	Is the language of the ritual songs a language you understand?	10	yes > no		nan	1:Yes;11:some;10:yes > no	
SD10_7	abui1241	Is the language of the ritual songs a foreign language?	10	nan		nan	0:No;1:Yes	
SD10_7	abui1241	Is the language of the ritual songs a foreign language?	?	Not known		nan	0:No;1:Yes	
SD10_8	abui1241	Do women and men dance together?	1	Yes		nan	0:No;1:Yes	
SD10_9	abui1241	Are there traditional ceremonies where men and women must be separated?	0	No		nan	0:No;1:Yes	
SD11_0	abui1241	Is there a ceremony relating to planting/harvesting?	1	Yes		nan	1:Yes	
SD11_1	abui1241	Did your ancestors arrive in boats?	0	No		nan	0:No;1:Yes;2:some	
SD11_10	abui1241	Does sacrifice involve feeding of ancestors?	0	No		nan	0:No;1:Yes	
SD11_11	abui1241	Is there/are  there (a) ritual place(s)?	1	Yes		nan	1:Yes	
SD11_2	abui1241	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	abui1241	Is there a myth about the origin of the people?	0	No		nan	0:No;1:Yes	
SD11_4	abui1241	Are there traditional religious leaders or specialists?	0	No		nan	0:No;1:Yes	
SD11_5	abui1241	Are there traditional drinks, or stimulants?	1	Yes		nan	1:Yes	
SD11_6	abui1241	Is there a traditional sacrifice place?	1	Yes		nan	1:Yes	
SD11_7	abui1241	Are there rituals around birth?	0	No		nan	0:No;1:Yes	
SD11_8	abui1241	Are there rituals around death?	1	Yes		nan	1:Yes	
