Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	adan1251	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No	 	nan	0:No;1:Yes	
SD10_1	adan1251	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	adan1251	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes	Se petang lol, ei lafining puil 'jalan di jalan yang bersih, menumpang kapal yang tinggi'  People from this clan have for a long time married with this other clan, meaning the road is clean and established.	nan	0:No;1:Yes	
SD10_3	adan1251	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	Just by leaders	nan	0:No;1:Yes	
SD10_4	adan1251	Are there ritual songs?	1	Yes	Harang is a song to call people to come, it is sung in the night	nan	1:Yes	
SD10_5	adan1251	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	adan1251	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	adan1251	Is the language of the ritual songs a foreign language?	1	Yes	Alor language in a song: Ikan gere kolana i 'ikan pergi/naik ke kolana'	nan	0:No;1:Yes	
SD10_8	adan1251	Do women and men dance together?	1	Yes		nan	0:No;1:Yes	
SD10_9	adan1251	Are there traditional ceremonies where men and women must be separated?	1	Yes	Only men sit and talk adat. Women serve (i.e. not join in) because their 'hawa' or spirit is hot. 	nan	0:No;1:Yes	
SD11_0	adan1251	Is there a ceremony relating to planting/harvesting?	1	Yes	Rituals still observed: when building a traditional house, when renovating the altar, when visiting other villages, during door opening (bride fetching) 	nan	1:Yes	
SD11_1	adan1251	Did your ancestors arrive in boats?	1	Yes	Speaker does not know where the origin is, but that ancestor first landed in Om Teil (next door mountain) 	nan	0:No;1:Yes;2:some	
SD11_10	adan1251	Does sacrifice involve feeding of ancestors?	1	Yes	"To give food to the spirits of ancestors is called ""na'a"" but this is idolatry now. The food given was the best grains of red rice, a healthy chicken's hearth and liver."	nan	0:No;1:Yes	
SD11_11	adan1251	Is there/are  there (a) ritual place(s)?	1	Yes	There must be an altar in every village and each altar must be built atop human heads so that it will be magic. 	nan	1:Yes	
SD11_2	adan1251	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No	Ancestors were human but in some stories the ancestors are said to come down from coconut trees, or grow/appear from the earth or fire. In one story he hid under some garbage and when it was burned it got to hot and he appeared. Adang from kokar believe their ancestors to be fish and so they don't eat red fish. 	nan	0:No;1:Yes	
SD11_3	adan1251	Is there a myth about the origin of the people?	1	Yes	Adang bang palola mitosnya leluhur berasal dari dalam tanah.Otvai: mitos dibikin supaya orang takut dari dia. Keluar dari dalam api.  	nan	0:No;1:Yes	
SD11_4	adan1251	Are there traditional religious leaders or specialists?	1	Yes	hada o tumo, 	nan	0:No;1:Yes	
SD11_5	adan1251	Are there traditional drinks, or stimulants?	1	Yes	tuak, drink made from the Enau tree, katema (type of corn). 	nan	1:Yes	
SD11_6	adan1251	Is there a traditional sacrifice place?	1	Yes	On the altar in the village	nan	1:Yes	
SD11_7	adan1251	Are there rituals around birth?	1	Yes	"When a bride is sent away to get married, she is given a carrying cloth together with a blessing. Some superstitions or prohibitions: Pregnant women are not allowed to leave the house at night, if she has to, she needs to carry a knife. There is a ritual concerning the cutting of the umbilical cord ""apu he tato' "" (cutting the cord). There is also apu he hi (cord comes off) about 2/3 days after the child is born. The woman needs to bathe in scalding water after birth, administered by the midwife/shaman that helped in the birthing process.  "	nan	0:No;1:Yes	
SD11_8	adan1251	Are there rituals around death?	1	Yes	"When someone dies, although people may already know about it, the family of the deceased must still visit every home to tell the news. If a man dies, they seek out the mother's family and give 1 mokok ""o se ar tel o ave voa"" (close the door, lift the ladder) so that there is no more debt to pay and he is freed. If the person dies in an accident, there must be a ritual to call his spirit back home ""laman apor"" (calling the spirit home). The shaman calls out certain words. At a funeral they bring pigs, chicken, goats and money. They sing ritual songs ""tab lolo""."	nan	1:Yes	
SD11_9	adan1251	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	"The ritual for planting is called ""pepel"". It is done to raise the spirits/morale of those planting and harvesting. After harvest there is a celebration ""Ala baloi bate baloi"" (new  corn, new grains) or new food. The first harvest is collected and cooked and eaten as a village. There is also a ritual to ask for rain where they scream very loudly to the gods. they also sacrifice pigs. This practise lasted till 1980s. In 1987 they renovated the altar and the ""hawa"" (spirit) were ""panas"" (hot) then. "	nan	1:Yes	
SD12_0	adan1251	Do women traditionally weave?	1	Yes	We know how to but we follow the styles from the coast (i.e. the women learn from the coast) 	nan	0:No;1:Yes	
SD12_1	adan1251	Is there traditional pottery?	0	No		nan	0:No;1:Yes	
SD12_2	adan1251	Are there moko?	1	Yes	Many	nan	0:No;1:Yes	
SD12_3	adan1251	Is it allowed to exchange the moko?	1	Yes		nan	0:No;1:Yes	
SD12_4	adan1251	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	adan1251	Are there traditional music instruments?	1	Yes	Suling (bamboo flute), gong, tambur (animal skin), a' diding (bamboo gong)	nan	0:No;1:Yes	
SD12_6	adan1251	Are there particular traditional music styles?	0	No	Perceives it the same as other parts of Alor	nan	0:No;1:Yes;10:yes > no	
SD13_0	adan1251	Do people use body paint or tattoo?	1	Yes	People used to have tattoos on their sleeves for aesthetic purposes. The needle used is ancient (bronze?)	nan	0:No;1:Yes	
SD13_1	adan1251	Were teeth traditionally filed? (i.e. made shorter with a file)	1	Yes	"Practise is called ""afing pel"". One uses a sharpening stone (used for knives)"	nan	0:No;1:Yes	
SD13_2	adan1251	Are there typical traditional haircuts?	1	Yes	"men: long hair, put in bamboo and placed on top of head. ""ok"". Combed with a ""dana"" made from bamboo "	nan	0:No;1:Yes	
SD13_3	adan1251	Traditional piercings?	1	Yes	(Only) Girls have earholes 	nan	0:No;1:Yes	
SD13_4	adan1251	Are feathers or beads used as adornments?	1	Yes	Men wear it on their heads as a sign of masculinity	nan	0:No;1:Yes	
SD13_5	adan1251	Is there traditional jewelry?	1	Yes	"Men tie cloth on their foreheads ""musala"""	nan	0:No;1:Yes	
SD13_6	adan1251	Is there special adornment used in rituals or ceremonies?	1	Yes	"bronze bangles for the feet ""alilin"" for the arms ""salak"""	nan	1:Yes;10:yes > no	
SD14_0	adan1251	Is spatial organization divided into primary and secondary type?	?	Not known		nan	0:No;2:Primary;1:Yes	
SD14_1	adan1251	Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	?	Not known		nan	0:No;1:Yes	
SD1_0	adan1251	Do adults in this village typically speak more than one local language?	0	No		nan	0:No;1:Yes	
SD1_1	adan1251	Do children typically speak more than one local language?	0	No		nan	0:No;1:Yes	
SD1_2	adan1251	Is it common in this village that husband and wife have different languages?	0	No	Adang only	nan	0:No;1:Yes	
SD1_3	adan1251	Does a wife learn to speak the language of her husband?	1	Yes	Also for husband. People generally learn the language of the village	nan	1:Yes	
SD1_4	adan1251	Does a husband learn to speak the language of his wife?	1	Yes	Also for wife	nan	0:No;1:Yes	
