Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	adon1237	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	1	Yes	Before the hunt, they should not swear using e.g. words for private parts women/men, otherwise an accident will happen. Nuno = 4 days before the hunt starts they say a kind of prayer and offer food and drink to ancestors so that the hunt will go well. When the hunt starts, they do Lɜgɜ' (= to press): They put money tobacco and silk on the biggest rock / under the biggest tree as an offering so that the hunt will go well.	nan	0:No;1:Yes	
SD10_1	adon1237	Is there ritual speech?	0	No		nan	0:No;1:Yes	
SD10_2	adon1237	Does the ritual speech involve parallellisms, dual symbolic categories?	0	No	There are some parallellisms, e.g. the word to propose marriage (see above)	nan	0:No;1:Yes	
SD10_3	adon1237	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	There is not really a separate ritual language. Everyone can understand the language that is used in rituals.	nan	0:No;1:Yes	
SD10_4	adon1237	Are there ritual songs?	1	Yes		nan	1:Yes	
SD10_5	adon1237	Are there ritual dances?	1	Yes	Liã = half circle dance, also the name of the song accompanying it, and a mantra. Sole = full circle dance, also the name of the song accompanying it.	nan	1:Yes	
SD10_6	adon1237	Is the language of the ritual songs a language you understand?	1	Yes	Some young people that have stayed in the village know it; young people that have studied or worked elsewhere, don't know it.	nan	1:Yes;11:some;10:yes > no	
SD10_7	adon1237	Is the language of the ritual songs a foreign language?	0	No		nan	0:No;1:Yes	
SD10_8	adon1237	Do women and men dance together?	1	Yes	Sili' = war dance, only for men. Hedũ and Sole Liã for women and men (to find a partner), Gawe Au ('step bamboo'): only for women. (In Solor the men can also dance this.)	nan	0:No;1:Yes	
SD10_9	adon1237	Are there traditional ceremonies where men and women must be separated?	1	Yes	Yes there is one dance where they are separated. When they do ann offering in the corner of the rumah adat, women are not allowed to come in.	nan	0:No;1:Yes	
SD11_0	adon1237	Is there a ceremony relating to planting/harvesting?	1	Yes	Ceremony Pa'o Bani is before planting and harvesting. (pa'o = feed, bani = altar)	nan	1:Yes	
SD11_1	adon1237	Did your ancestors arrive in boats?	1	Yes	Called Kelaki Ado Pehã from Lembata.	nan	0:No;1:Yes;2:some	
SD11_10	adon1237	Does sacrifice involve feeding of ancestors?	1	Yes	see above	nan	0:No;1:Yes	
SD11_11	adon1237	Is there/are  there (a) ritual place(s)?	1	Yes	The rumah adat, and the altar noba nara, and the square in front of the rumah adat Namã (= kind of dance, other name for Sole dance).	nan	1:Yes	
SD11_2	adon1237	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No	They were sitting on the back of a crocodile using it as a boat. Adonara people have a special relation with elephants: they will never harm anyone from Adonara, and when an Adonara person talks to them, they will listen when they get an offering. They should not be killed. 	nan	0:No;1:Yes	
SD11_3	adon1237	Is there a myth about the origin of the people?	1	Yes	The ancestor man came from a mountain in Lembata and the woman from a mountain in Adonara.	nan	0:No;1:Yes	
SD11_4	adon1237	Are there traditional religious leaders or specialists?	1	Yes	They are called kebe'le = big.	nan	0:No;1:Yes	
SD11_5	adon1237	Are there traditional drinks, or stimulants?	1	Yes	arak, tuak, sirih pinang, tobacco. (Honey, marak = tuak from coconut, drank when people are sick.)	nan	1:Yes	
