Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	blag1240	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No		nan	0:No;1:Yes	
SD10_1	blag1240	Is there ritual speech?	0	No	There is a long answer about how to organize marriage but no answer about the ritual speech. Check Steinhauer's work.	nan	0:No;1:Yes	
SD10_2	blag1240	Does the ritual speech involve parallellisms, dual symbolic categories?	0	No	Check Steinhauer's work.	nan	0:No;1:Yes	
SD10_3	blag1240	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	Clip 7, 9:20	nan	0:No;1:Yes	
SD10_4	blag1240	Are there ritual songs?	1	Yes		nan	1:Yes	
SD10_5	blag1240	Are there ritual dances?	1	Yes	Lego-lego is dari. They dance in a circle, men and women together, holding each other's little fingers. Closer contact is not allowed.	nan	1:Yes	
SD10_6	blag1240	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	blag1240	Is the language of the ritual songs a foreign language?	0	No		nan	0:No;1:Yes	
SD10_8	blag1240	Do women and men dance together?	1	Yes		nan	0:No;1:Yes	
SD10_9	blag1240	Are there traditional ceremonies where men and women must be separated?	0	No		nan	0:No;1:Yes	
SD11_0	blag1240	Is there a ceremony relating to planting/harvesting?	1	Yes	Harvesting of kacang (beans): we sit in a circle together to peel them, and sing together doing a game. (No example is given.)	nan	1:Yes	
SD11_1	blag1240	Did your ancestors arrive in boats?	1	Yes	We just came from Pantar, with boats. These boats had sides made of coconut leafs because otherwise the waves would get in. This island was first a vulcano, about 500 years ago (we heard from somone at Udayana University in Bali).	nan	0:No;1:Yes;2:some	
SD11_10	blag1240	Does sacrifice involve feeding of ancestors?	0	No	We do not sacrifice to the ancestors (as we are christians now). The question is asked twice in clip 8 (in different contexts) and both times answered negatively. In a neighbouring group there is however a ritual feeding the ancestors: when something bad happens (theft, etc.) food is sacrificed on a special rock so that the person who did the sin will be punished.	nan	0:No;1:Yes	
SD11_11	blag1240	Is there/are  there (a) ritual place(s)?	1	Yes	There are several places in the  ritual: the place with the round stone here, where there is crying; and a place a bit away from here, at a stream called ribusari, where they must be silent, they are not allowed to scream and shout (or else there will be no rain). There is also another sacred place, a rock in the shape of a human, called Wenibau where rotan grows, but we are not allowed to cut that rotan.	nan	1:Yes	
SD11_2	blag1240	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	blag1240	Is there a myth about the origin of the people?	0	No		nan	0:No;1:Yes	
SD11_4	blag1240	Are there traditional religious leaders or specialists?	0	No		nan	0:No;1:Yes	
SD11_5	blag1240	Are there traditional drinks, or stimulants?	1	Yes	Tuak owa 'tuak mentah (unprocessed lontar palm sap)', arak 'distilled tuak'.	nan	1:Yes	
SD11_6	blag1240	Is there a traditional sacrifice place?	1	Yes		nan	1:Yes	
SD11_7	blag1240	Are there rituals around birth?	0	No	There is no ritual befor or after birth. In other places they have rituals, but here we don't. The only thing is that the baby should be kept in the house for 40 days (but the mother can go out).	nan	0:No;1:Yes	
SD11_8	blag1240	Are there rituals around death?	1	Yes	Mete: watch the body for one or two nights, and we sing together, using guitars. Then the body is buried and we say a prayer. That's it. 40 days after the burial we have a sembayang syukur, a thanksgiving, with a meal for everybody. We slaughter a pig, a goat and eat fish. But on the day of the burial we have no ceremonies or clebrations. Elsewhere in Alor they do have ceremonies but here we don't, because it's just bikin rugi orang.On New Year's day we used to go to the graves of the dead in a procession with gongs, and spray flowers on the graves (clip 9: 9:00). 	nan	1:Yes	
SD11_9	blag1240	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	"When we want to plant, we bring seeds to church, and pray for a good crop. (clip 8; 6:31)
There is a flat, round stone, called bantalu. It also has a child (small stone belonging with it).  With one child there will be no rain. So we have to bring young coconut to go with it. The ritual takes place at night. All the lights and lamps in the village must be off and no-one is allowed to go out of the house. Then two men go naked, the run around in the village, crying, calling for rain.  "	nan	1:Yes	
SD12_0	blag1240	Do women traditionally weave?	0	No	Yes, but they are newcomers, e.g. a Reta woman, and a woman from Timor (Oecussi) people. Here we are busy with tuak: the husband taps it from the trees, the wife cooks it to become sopi. In another part of the interview he mentions that women also make niru, flat baskets to clean rice, to sell in the market.	nan	0:No;1:Yes	
SD12_1	blag1240	Is there traditional pottery?	0	No	There is no clay here, just rocks.	nan	0:No;1:Yes	
SD12_2	blag1240	Are there moko?	1	Yes	Those who have many daughters, will have moko. They are kept at people's home, not at a special rumah adat nor at the ketua adat.	nan	0:No;1:Yes	
SD12_3	blag1240	Is it allowed to exchange the moko?	1	Yes	They are used as bride price. But they can be sold if there is a need. This is why there are only few moko left here.	nan	0:No;1:Yes	
SD12_4	blag1240	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	blag1240	Are there traditional music instruments?	0	No	There is a kind of small anklung like instrument that is used by Reta people called kediding. But we have no special music instruments.	nan	0:No;1:Yes	
SD12_6	blag1240	Are there particular traditional music styles?	1	Yes	With lego-lego we use gongs.	nan	0:No;1:Yes;10:yes > no	
SD13_0	blag1240	Do people use body paint or tattoo?	1	Yes	In the past, someone who got a skin disease (e.g. penyakit kudis) would tattoo around the spot to stop it from spreading. Tattoo was not used as adornment.	nan	0:No;1:Yes	
SD13_1	blag1240	Were teeth traditionally filed? (i.e. made shorter with a file)	1	Yes	Using batang aur (a kind of bamboo), teeth were filed. You were only allowed to touch a woman's breast after your teeth had been filed. Teeth filing is sign of adulthood.	nan	0:No;1:Yes	
SD13_2	blag1240	Are there typical traditional haircuts?	0	No		nan	0:No;1:Yes	
SD13_3	blag1240	Traditional piercings?	1	Yes	For women only.	nan	0:No;1:Yes	
SD13_4	blag1240	Are feathers or beads used as adornments?	0	No		nan	0:No;1:Yes	
SD13_5	blag1240	Is there traditional jewelry?	1	Yes	In the past we used bells on legs and arms when we lego-lego (gilang = giring-giring). Nowadays we don't have these anymore.	nan	0:No;1:Yes	
SD13_6	blag1240	Is there special adornment used in rituals or ceremonies?	1	Yes	Women and men must wear sarongs when we lego-lego. (Men and women can wear the same kind of sarongs, unlike in Reta where they wear separate kind of things.)  Apart from that there are no adornments.	nan	1:Yes;10:yes > no	
SD14_0	blag1240	Is spatial organization divided into primary and secondary type?	1	Yes	East: weden da 'sun rise', West: wed bang 'sun goes down'. North and South: difficult, we don't know, we just use Utara and Selatan.	nan	0:No;2:Primary;1:Yes	
SD14_1	blag1240	Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	?	Not known		nan	0:No;1:Yes	
SD1_0	blag1240	Do adults in this village typically speak more than one local language?	0	No		nan	0:No;1:Yes	
SD1_1	blag1240	Do children typically speak more than one local language?	0	No	Many children (probably 75%) now speak Indonesian, but actually they do not really understand it as well as the local language. 	nan	0:No;1:Yes	
SD1_2	blag1240	Is it common in this village that husband and wife have different languages?	0	No	There are some mixed languages, but after a year or two, the newcomer who married a Pura person learns to speak the local language.	nan	0:No;1:Yes	
SD1_3	blag1240	Does a wife learn to speak the language of her husband?	1	Yes	The majority of newcomers are women w who marry a Pura husband. They learn the local language.	nan	1:Yes	
SD1_4	blag1240	Does a husband learn to speak the language of his wife?	1	Yes	There are a few cases where a man from another island marries with a Pura woman and lives on Pura. He must learn the local language too.	nan	0:No;1:Yes	
SD1_5	blag1240	Do they communicate with a third language?	0	No	Maybe in the beginning, but after a while they usually also speak Pura together.	nan	0:No;1:Yes;2:yes / no	
SD2_0	blag1240	Do people traditionally hunt?	1	Yes	"Mostly people in the other part of the village (""Dusun B""). In this village only about 2% of the men still hunt (3-4 out of ~200). They use bow and arrow, no spear. They hunt pigs and deer. "	nan	1:Yes	
SD2_1	blag1240	Do people traditionally fish in the sea?	1	Yes	They use fish traps (oval or rectangular shape) made of bamboo. Fish nets are also used, but traps are more traditional. Some also use a 'kompresor' to dive deep and spear fish.  	nan	0:No;1:Yes	
SD2_2	blag1240	Do people traditionally have animal husbandry?	1	Yes	Pigs, goats, chicken, ducks (few), dogs, cats. Everyone, 100%	nan	1:Yes	
SD2_3	blag1240	Do people traditionally have agriculture?	1	Yes	There is little space for gardens on Pura. Two households work together on one plot. The crop they eat themselves, it is not sold. Crop is e.g. beans (kacang) (clip 7; 12:30)	nan	1:Yes	
