Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	buna1278	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No	No special vocabulary, but when we go hunting we should not swear. 	nan	0:No;1:Yes	
SD10_1	buna1278	Is there ritual speech?	1	Yes	"He mentions an example at 10:21: I tengke dini khere, I tengke lalgo khere ""We have to be one, we must have one word""."	nan	0:No;1:Yes	
SD10_2	buna1278	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes	"From 5:24 there is a quote in Bunak, a message from the family of the bride to the family of the groom, to hand over their daughter. Indonesian translation: ""Sekarang saya menyerahkan kepada anda dengan utuh, kaki tangannya lengkap, matanya lengkap, kalau besok hari, setelah kalian berdua hidup sendirian, besok hari mungkin ada masalah kah, ada penyakit, ada cacatan, kaya begitu, kamu harus bertanggung jawab atasnya dan kalau mau menikah lagi dengan orang lain berarti kamu bermasalah dengan kami itu tidak kami tidak bertanggung jawab atas hal itu, tetapi kalau kamu tidak menikah lagi, itulah yang kami harapkan."""	nan	0:No;1:Yes	
SD10_3	buna1278	Is the ritual language known by everyone (or just by traditional leaders)?	1	Yes		nan	0:No;1:Yes	
SD10_4	buna1278	Are there ritual songs?	1	Yes	ole, mau'e for sad times, suge, thei, for happy times. 	nan	1:Yes	
SD10_5	buna1278	Are there ritual dances?	1	Yes	dahur, tebe-tebe for happy times	nan	1:Yes	
SD10_6	buna1278	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	buna1278	Is the language of the ritual songs a foreign language?	0	No	However there are some songs that have no meaning.	nan	0:No;1:Yes	
SD10_8	buna1278	Do women and men dance together?	1	Yes	They dance together in tebe-tebe, one side the women, the other side the man, and in the middle they hold hands. But there are also different dances for the women and the men. The women's dances are called soeand the men's dances are called sila. The small drum that people use when dancing is called dirakhu. There is no singing in soe and sila.	nan	0:No;1:Yes	
SD10_9	buna1278	Are there traditional ceremonies where men and women must be separated?	1	Yes	Men and women have their own tasks (women pound and clean rice, weave)	nan	0:No;1:Yes	
SD11_0	buna1278	Is there a ceremony relating to planting/harvesting?	1	Yes	Before planting and before harvesting, we sacrifice a pig or a goat. This is to feed the spiritual owner of the crops. After harvesting we make a sacrifice below a tree, and after that the corn can be eaten. This is called fo' ho'on (fo'= sacred, ho'on = make). This term is also used for the ceremony before planting.	nan	1:Yes	
SD11_1	buna1278	Did your ancestors arrive in boats?	1	Yes	Oral history in Maliana tells that ancestors came from Bali in boats and arrived in Manatuto, and spread from there. 	nan	0:No;1:Yes;2:some	
SD11_10	buna1278	Does sacrifice involve feeding of ancestors?	1	Yes	Spirits of ancestors must be fed before we bury the body. If we don't do this, the food we prepare will not be enough.	nan	0:No;1:Yes	
SD11_11	buna1278	Is there/are  there (a) ritual place(s)?	1	Yes	 the rumah adat	nan	1:Yes	
SD11_2	buna1278	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	1	Yes	The ancestors of Dou Dato arrived in the shape of a black crow (kaka) so we cannot eat this. Another story tells that the ancestors of the other moieties arrived on the back of a crocodile. So they are not allowed to eat crocodile.	nan	0:No;1:Yes	
SD11_3	buna1278	Is there a myth about the origin of the people?	1	Yes	See previous	nan	0:No;1:Yes	
SD11_4	buna1278	Are there traditional religious leaders or specialists?	1	Yes	Lal gomo are the traditional specialists in solving problems	nan	0:No;1:Yes	
SD11_5	buna1278	Are there traditional drinks, or stimulants?	1	Yes	Sirih pinang, white palm wine (aren), wine from sugar palm (tuak)	nan	1:Yes	
SD11_6	buna1278	Is there a traditional sacrifice place?	1	Yes	This is where the fo' ho'on takes place.	nan	1:Yes	
SD11_7	buna1278	Are there rituals around birth?	1	Yes	Just after birth, the umbilical cord and placenta is put in a high tree, or bury under a banana tree. One week after birth, there is a ceremony called giral ini 'eyes wash'	nan	0:No;1:Yes	
