Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	kaer1234	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No	There are no specific vocabularies but certain things are forbidden. For example, when we hunt, we are not allowed to touch green leafs because then the dogs will smell less. When people ask where we go we should not say we go hunting or fishing. Instead we say menik yaso 'pigi suangi', 'go to the ghosts'. Otherwise we will not catch anything. This applies to fishing and hunting.	nan	0:No;1:Yes	
SD10_1	kaer1234	Is there ritual speech?	1	Yes	For example, poetic speech like this (5:18 clip 7):  Aba batara xuang magari, xuang tang mising, gong tox pising.Watoling sabelau silapu tebising, rayang el ta mising Aba: Allah? batara: ?, xuang: moko, magari:?, tang: on top of, mising: sit, gong: head, tox: sopi, gong tox: top sopi, the strongest sopi; watoling: silk, sabelau:? silapu:?, tebising:?, rayang: king, el ta mising: sits at the place. 	nan	0:No;1:Yes	
SD10_2	kaer1234	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes	See previous answer.	nan	0:No;1:Yes	
SD10_3	kaer1234	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	In the citation in 10.1, many words are unknown. The rituals are carried out by a ritual priest, uxu walu.	nan	0:No;1:Yes	
SD10_4	kaer1234	Are there ritual songs?	1	Yes	After a long discussion in Kaera, no songs are sung. It is explained that the children in school are learning songs in Kaera.	nan	1:Yes	
SD10_5	kaer1234	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	kaer1234	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	kaer1234	Is the language of the ritual songs a foreign language?	1	Yes	The lyrics in lego-lego dances mix different languages; Kaera, Teiwa, Pura, Western Pantar. People can understand these lyrics.	nan	0:No;1:Yes	
SD10_8	kaer1234	Do women and men dance together?	1	Yes	There are two types of dances: soxai and dari. Soxai is from the mountains, dari from the coast. In soxai, men and women dance in separate rows, in dari they dance together, holding each other's little finger. Dari dances are taken from Pura.	nan	0:No;1:Yes	
SD10_9	kaer1234	Are there traditional ceremonies where men and women must be separated?	1	Yes	For instance, in the ceremony asking for rain, women could not be present.	nan	0:No;1:Yes	
SD11_0	kaer1234	Is there a ceremony relating to planting/harvesting?	1	Yes	This is explained in clip 7 (around 8-9mins). When we go planting, a young girl divides the seeds, everyone puts them in a bag s/he is carrying. After the planting is done, we go home in a procession, bringing cooked rice and chuncks of meat (prepared in the garden), we eat, we lego-lego, the priest pours tox 'tuak' and everyone drinks from the bamboo tube, but the last bit of the drink is kept, the priest cuts the bamboo tube in two, and the tuak is sprinkled on the ground, with a mantra. 	nan	1:Yes	
SD11_1	kaer1234	Did your ancestors arrive in boats?	1	Yes	According to oral history, the The ancestors from the Dorit clan came from India where they lived in a village that was surrounded by moko. They arrived at the location where Kabir is now, with a boat that had neither a sail nor a (roer). It was pushed by a shark and a dolphin. That's why we are not allowed to eat these fish. Later, other clans joined us. For instance the Uyu Mau, according to the story they just appeared out of the earth. Each clan has its own origin story.	nan	0:No;1:Yes;2:some	
SD11_10	kaer1234	Does sacrifice involve feeding of ancestors?	1	Yes	In the past, the souls of ancestors were fed by putting food in a small canoe (size of a plate) which was put into the sea.  Until now people do suang, the night before christmas they put food and drink (rice, meat, sopi) on the table for the souls of the ancestors. It is eaten by anyone who comes first.  notes	nan	0:No;1:Yes	
SD11_11	kaer1234	Is there/are  there (a) ritual place(s)?	1	Yes	mount of stones, village square, certain beaches, etc.	nan	1:Yes	
SD11_2	kaer1234	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No	But the boat that they arrived in was pushed by a shark and a dolphin.	nan	0:No;1:Yes	
SD11_3	kaer1234	Is there a myth about the origin of the people?	1	Yes	Every Kaera clan has its own myth.	nan	0:No;1:Yes	
SD11_4	kaer1234	Are there traditional religious leaders or specialists?	1	Yes	A traditional priest is called uxu walu.	nan	0:No;1:Yes	
SD11_5	kaer1234	Are there traditional drinks, or stimulants?	1	Yes	Tox 'tuak, lontar palm wine', tox wad 'big tuak, sopi' (liquor distilled from palm wine); sirih pinang.	nan	1:Yes	
SD11_6	kaer1234	Is there a traditional sacrifice place?	1	Yes	At certain beach locations we roast chicken as sacrifice, so that we catch many fish.	nan	1:Yes	
SD11_7	kaer1234	Are there rituals around birth?	1	Yes	A pregnant woman is not allowed to sleep alone in a pondok. When the time of giving birth is close, the woman must carry heavy stuff to widen the stomach and make the delivery more easy. In the past, women gave birth on their own, without anyone present. The woman holds on to a rope from the ceiling and delivers. The mother and child stay inside for 40 days.	nan	0:No;1:Yes	
