Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	keda1252	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No	Pan derung = go hunting.	nan	0:No;1:Yes	
SD10_1	keda1252	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	keda1252	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		nan	0:No;1:Yes	
SD10_3	keda1252	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	Only leaders know it.	nan	0:No;1:Yes	
SD10_4	keda1252	Are there ritual songs?	1	Yes	He gives a short example of how it sounds.	nan	1:Yes	
SD10_5	keda1252	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	keda1252	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	keda1252	Is the language of the ritual songs a foreign language?	0	No		nan	0:No;1:Yes	
SD10_8	keda1252	Do women and men dance together?	1	Yes		nan	0:No;1:Yes	
SD10_9	keda1252	Are there traditional ceremonies where men and women must be separated?	1	Yes	Ceremony for men: Mi'er renga; a ceremony to protect the clan. There is no special ceremony for women. Mi'er renga refers to products from nature.	nan	0:No;1:Yes	
SD11_0	keda1252	Is there a ceremony relating to planting/harvesting?	1	Yes	Hota' tawan mean: ceremony before planting corn and rice. The ground is sprayed with coconut water, then the corn is planted. The place where they spray is called ro'ok, or o'o'. Before harvesting there is no special ceremony. Planting ubi has no special ceremony.	nan	1:Yes	
SD11_1	keda1252	Did your ancestors arrive in boats?	0	No		nan	0:No;1:Yes;2:some	
SD11_10	keda1252	Does sacrifice involve feeding of ancestors?	1	Yes		nan	0:No;1:Yes	
SD11_11	keda1252	Is there/are  there (a) ritual place(s)?	1	Yes	The old village	nan	1:Yes	
SD11_2	keda1252	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No	The Kedang have a special relation with elephants. When they speak to them, the elephant listens.	nan	0:No;1:Yes	
SD11_3	keda1252	Is there a myth about the origin of the people?	1	Yes	44 kampongs in Kedang, They all derive from one ancestor called Uye Lewun. This is the name of the mountain that is surrounded by 44 Kedang villages. Uye Lewun is a woman, and her descendants are Ome Suri (female) and Buya Suri (male). These two children then have children and these become the 44 kampongs. The specific family tree goes like this from the very beginning: Uye Lewun (female; the mountain was named after her) has a son Raya Uyo, he has 4 children, Pitang Raya > Kedang, Mau Raya > Timor (where there are Mau clans), Ama Raya > Adonara, Ua Raya > Pantar Alor. From Pitang Raya it goes like this: he has a child Pulo Pitang, he has two children Ome Suri and Buya Suri, and they got children, and these are the Kedang people. This is why they are subdistricts (kecamatan) Ome Suri and Buya Suri. The mountain was not there at first, but ancestors came with a ship that got stuck on a rock, and a bird sat on top of the pole of the boat and was shot, one wing broke. It became a rock, this is why the mountain looks like a bird with one spread wing and one broken wing. Kedang people are said to come from Sina Puel Sana Matang. (Unclear what it refers to.)	nan	0:No;1:Yes	
SD11_4	keda1252	Are there traditional religious leaders or specialists?	1	Yes	Imang	nan	0:No;1:Yes	
SD11_5	keda1252	Are there traditional drinks, or stimulants?	1	Yes	tuak, arak; medicine from roots of trees e.g. tehe'.	nan	1:Yes	
SD11_6	keda1252	Is there a traditional sacrifice place?	1	Yes	In Leu Tuan.	nan	1:Yes	
SD11_7	keda1252	Are there rituals around birth?	1	Yes	Cut the umbilical cord (=keteng teing), after 3 days wash hair (=peda hamur). Mother stays inside for 30 days; everything is washed after 30 days and mother can go outside to bathe at the well (=pan bahing bula: jalan cuci, go wash). Before birth there is a ritual called Uru'-uru' eban-aur 'tolak alang buka bambu', push away the grass, open the bamboo [blocking the way] > open the way.  	nan	0:No;1:Yes	
SD11_8	keda1252	Are there rituals around death?	1	Yes	When someone old (60+) dies, the gong is hit after he died. So that people hear that someone has died. If the person is younger, no gong is hit. Nowadays normal Islam ritual is followed. In earlier days, the body was given its own little house and put there to decay. This is called Keda weta puli rewa, Aur pulur ta' lolon 'bale-bale - close - put  bury; bale-bale leaf coconut (aur= bamboo). This phrase refers to the bale-bale and the roof, twice.	nan	1:Yes	
SD11_9	keda1252	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	Cut a chicken, or goat in the Leu Tuan (old village) where there is a stone where they do the ceremony. There is a ritual called Ode iring kuling maleng, Nu neieng wula hau to ask for rain. When the rain is late, this ritual is used. Various objects are put in special places (rocks, metal, copper) and they cut a young coconut and spray the water over the objects. He recites the prayer to ask for wind clouds and rain.	nan	1:Yes	
SD12_0	keda1252	Do women traditionally weave?	0	No	Not in Leubatang. But in Kedang at the coast they do weave. There are two types: Kedang pesisir vs. Kedang pedalaman. The main society is the Kedang pedalaman.	nan	0:No;1:Yes	
SD12_1	keda1252	Is there traditional pottery?	0	No		nan	0:No;1:Yes	
SD12_2	keda1252	Are there moko?	0	No		nan	0:No;1:Yes	
SD12_3	keda1252	Is it allowed to exchange the moko?	0	No		nan	0:No;1:Yes	
SD12_4	keda1252	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	keda1252	Are there traditional music instruments?	1	Yes	Gong gendang, earlier they also used a mouth instrument, called Ai Likur > from this the name of the village Kalikur (desa kapitang) is derived. 	nan	0:No;1:Yes	
SD12_6	keda1252	Are there particular traditional music styles?	1	Yes		nan	0:No;1:Yes;10:yes > no	
SD13_0	keda1252	Do people use body paint or tattoo?	0	No		nan	0:No;1:Yes	
SD13_1	keda1252	Were teeth traditionally filed? (i.e. made shorter with a file)	1	Yes	Traditionally the ears of boys and girls were pierced when they were small and the teeth of boys and girls were filed when they became adults. It is called Tuhu' til doro awa 'tusuk telinga asah gigi'.	nan	0:No;1:Yes	
SD13_2	keda1252	Are there typical traditional haircuts?	1	Yes	Women: hair in knot, with a stick (wure') to fix it; the style is called tuhu wure' tusuk tongkat. Men: hair in a horse tail on top of head, with tail hanging loose.	nan	0:No;1:Yes	
SD13_3	keda1252	Traditional piercings?	1	Yes	In the ears.	nan	0:No;1:Yes	
SD13_4	keda1252	Are feathers or beads used as adornments?	0	No		nan	0:No;1:Yes	
SD13_5	keda1252	Is there traditional jewelry?	1	Yes	Ivory bracelets (for men), necklace ('bang') out of silver, clay and ivory.	nan	0:No;1:Yes	
SD13_6	keda1252	Is there special adornment used in rituals or ceremonies?	1	Yes	Meba', headpiece from lontar leaves for men. They also have cloth wound around the head (lipa' nodeng, kain lipat). Women don't wear headpieces.	nan	1:Yes;10:yes > no	
SD14_0	keda1252	Is spatial organization divided into primary and secondary type?	1	Yes	North= tuan laong, South=ana' koda, E=serang gorang, W=abong wara'.	nan	0:No;2:Primary;1:Yes	
SD14_1	keda1252	Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	1	Yes	Ile wata bohor beuk > mountain (=N), sea (=S), sunrise (=E), sunset (=W)	nan	0:No;1:Yes	
