Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
lama1278	SD10_0	nan	0.0	nan	They should not swear during the hunting. 	nan	nan	nan
lama1278	SD10_1	nan	1.0	nan		nan	nan	nan
lama1278	SD10_2	nan	1.0	nan	see above example in 9.7	nan	nan	nan
lama1278	SD10_3	nan	1.0	nan		nan	nan	nan
lama1278	SD10_4	nan	1.0	nan	no example given	nan	nan	nan
lama1278	SD10_5	nan	1.0	nan		nan	nan	nan
lama1278	SD10_6	nan	1.0	nan		nan	nan	nan
lama1278	SD10_7	nan	0.0	nan		nan	nan	nan
lama1278	SD10_8	nan	1.0	nan	There are mixed dances, but mostly it is the men who dance. Namang Hedong: for men mostly.	nan	nan	nan
lama1278	SD10_9	nan	1.0	nan	There is a ceremony only for men, called Tutu Adat, to tell traditional stories. The women cook and serve food.	nan	nan	nan
lama1278	SD11_0	nan	1.0	nan	There are two more rituals, called Jawa Letu' and Jawa Buka. Jawa Letu' is to close the planting period. During the ceremony there should not be any sound of a party. Jawa Buka is the opening of the new planting period. There are many rituals and music. Before they plant corn, they have a ceremony called Hika Toba. Through this ceremony they open one garden together, the garden of the tuan tanah (Nika Teun), in which they work together for one day. The ceremony involves cutting an animal (e.g. a goat or pig) and cook it and eat it together with ketupat (rice in coconut leaves). The next day they start to work in their own gardens. 	nan	nan	nan
lama1278	SD11_1	nan	1.0	nan	From Kroko Puken (east) and Sina Java (=Chinese people from Java) Malaka (Sumatra). 	nan	nan	nan
lama1278	SD11_10	nan	1.0	nan	see above; also recording of traditional village where the man offers food and drink to the spirits of the ancestors.	nan	nan	nan
lama1278	SD11_11	nan	1.0	nan	Nuba Nara, and in front of the rumah adat in the old village; and also in every garden.	nan	nan	nan
lama1278	SD11_2	nan	0.0	nan	But there is another clan Hayon, which has a story that the Ikan Kro'o helped them and therefore they are forbidden to eat it. Elephants do not play a mythical role here, it's just their tanduk that is kept as pusaka or belis.	nan	nan	nan
lama1278	SD11_3	nan	1.0	nan	Each clan has their own history. But there is a general origin story. Originally the people living here were Demo-Paji. Paji was here first and then Demo, they merged as a society. Then they found Gesti Tuli who appeared from the earth. The story is called Beto Lali Tana Haka. There is a baby named Gesti Tuli that was found because an eagle was flying around screaming and the people went to look for the baby in the forest. They assumed the baby was born from the ground, they took it with them and adopted it into their clan. But Gesti Tuli fought the Demo-Paji and they lost and left. Gesti Tuli became the ancestor of Keton and Kelen clans.	nan	nan	nan
lama1278	SD11_4	nan	1.0	nan	Four leaders, one from each of the 4 important clans. They have their own task in traditional rituals.	nan	nan	nan
