Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	sika1262	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	1	Yes		nan	0:No;1:Yes	
SD10_1	sika1262	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	sika1262	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		nan	0:No;1:Yes	
SD10_3	sika1262	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	Some of the words are from other dialects, or from an older variety of the language	nan	0:No;1:Yes	
SD10_4	sika1262	Are there ritual songs?	1	Yes	"When they take down the rice (of last year; that is in the rumah adat), they sing a song Tena Lau Kese, ""A boat that is sailing""."	nan	1:Yes	
SD10_5	sika1262	Are there ritual dances?	1	Yes	Kong gitong	nan	1:Yes	
SD10_6	sika1262	Is the language of the ritual songs a language you understand?	11	some	Some songs are in a different language (see next question's notes). Some songs are in an old version of Hewa that most people don't understand. But there are also songs in Hewa: Bau Bala is a Hewa song in Hewa.	nan	1:Yes;11:some;10:yes > no	
SD10_7	sika1262	Is the language of the ritual songs a foreign language?	1	Yes	Songs with words from Boru (if Boru is a different language). An example is recorded of a song in Boru Kedang. This song is sung when treading the rice after harvest.The song Tena Lau Kese (10.4) is in the Mohang language. 	nan	0:No;1:Yes	
SD10_8	sika1262	Do women and men dance together?	1	Yes	4 men and 6 women	nan	0:No;1:Yes	
SD10_9	sika1262	Are there traditional ceremonies where men and women must be separated?	1	Yes	sakalele: male's dance, lusi lerang: women's dance	nan	0:No;1:Yes	
SD11_0	sika1262	Is there a ceremony relating to planting/harvesting?	1	Yes	Kebek bakur: after harvesting, pleba watar: after harvesting corn	nan	1:Yes	
SD11_1	sika1262	Did your ancestors arrive in boats?	2	some	Some arrived in boats, some came from Boru, Lamaholot or Sika, and some came out of the ground. The Hewa ancestors are 2 kings: one married with a Maumere woman (in Muhang) and one went to Larantuka, travelling across the mountains, but never quite got there and stayed in Hewa. Muhang was used as a language before, but now it's gone from Hewa.	nan	0:No;1:Yes;2:some	
SD11_10	sika1262	Does sacrifice involve feeding of ancestors?	0	No		nan	0:No;1:Yes	
SD11_11	sika1262	Is there/are  there (a) ritual place(s)?	1	Yes	the rumah adat	nan	1:Yes	
SD11_2	sika1262	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	sika1262	Is there a myth about the origin of the people?	1	Yes	ancestors who came out of the ground	nan	0:No;1:Yes	
SD11_4	sika1262	Are there traditional religious leaders or specialists?	0	No	catholic pastor 	nan	0:No;1:Yes	
SD11_5	sika1262	Are there traditional drinks, or stimulants?	1	Yes	arak, tuak, sirih pinang	nan	1:Yes	
SD11_6	sika1262	Is there a traditional sacrifice place?	1	Yes		nan	1:Yes	
SD11_7	sika1262	Are there rituals around birth?	1	Yes	Traditional midwife = molan. Baby must stay inside the house for 5 days. This period is referred to as Lohor dedi.	nan	0:No;1:Yes	
SD11_8	sika1262	Are there rituals around death?	1	Yes	Named Agoan (check recording)	nan	1:Yes	
SD11_9	sika1262	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	ri': after harvest of the rice in the garden, kebek bakur: after harvest of the rice in the rumah adat; pleba watar: at the harvest of the corn	nan	1:Yes	
SD12_0	sika1262	Do women traditionally weave?	1	Yes		nan	0:No;1:Yes	
SD12_1	sika1262	Is there traditional pottery?	1	Yes		nan	0:No;1:Yes	
SD12_2	sika1262	Are there moko?	0	No		nan	0:No;1:Yes	
SD12_3	sika1262	Is it allowed to exchange the moko?	0	No		nan	0:No;1:Yes	
SD12_4	sika1262	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	sika1262	Are there traditional music instruments?	1	Yes	gong, gendang: are played when the men are dancing	nan	0:No;1:Yes	
SD12_6	sika1262	Are there particular traditional music styles?	1	Yes		nan	0:No;1:Yes;10:yes > no	
SD13_0	sika1262	Do people use body paint or tattoo?	0	No		nan	0:No;1:Yes	
SD13_1	sika1262	Were teeth traditionally filed? (i.e. made shorter with a file)	0	No		nan	0:No;1:Yes	
SD13_2	sika1262	Are there typical traditional haircuts?	0	No		nan	0:No;1:Yes	
SD13_3	sika1262	Traditional piercings?	1	Yes	only ears	nan	0:No;1:Yes	
SD13_4	sika1262	Are feathers or beads used as adornments?	1	Yes	chicken feathers are used in men's headpiece	nan	0:No;1:Yes	
SD13_5	sika1262	Is there traditional jewelry?	0	No		nan	0:No;1:Yes	
SD13_6	sika1262	Is there special adornment used in rituals or ceremonies?	1	Yes	men wear a kalambali (=headpiece) made from lontar leaf and chicken feathers, women wear a headpiece made of wool, their hair in a konde and a comb in between the head and the konde.	nan	1:Yes;10:yes > no	
SD14_0	sika1262	Is spatial organization divided into primary and secondary type?	0	No	east: wali, west: ripa; south: lau, north: reta	nan	0:No;2:Primary;1:Yes	
SD14_1	sika1262	Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	0	No		nan	0:No;1:Yes	
SD1_0	sika1262	Do adults in this village typically speak more than one local language?	1	Yes	Lamaholot, B Indonesia (teachers or students that come home)	nan	0:No;1:Yes	
SD1_1	sika1262	Do children typically speak more than one local language?	1	Yes	B Indonesia, Sika, Hewa	nan	0:No;1:Yes	
