Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	levu1239	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	1	Yes	"Hunting
Au Maleng: the chief in hunting and war (suku Lamadua)
Au Seken: the left chief
Au Wanan: the right chief
Lakar: place to cut the hunted animals"	14	0:No;1:Yes	
SD10_1	levu1239	Is there ritual speech?	1	Yes		14	0:No;1:Yes	
SD10_2	levu1239	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		14	0:No;1:Yes	
SD10_3	levu1239	Is the ritual language known by everyone (or just by traditional leaders)?	0	No		14	0:No;1:Yes	
SD10_4	levu1239	Are there ritual songs?	1	Yes	"Geka Kelo: This is the name of the song, the dance but alos the ceremony. The ceremony takes place if a first child is born. Only females take part in this ceremony. But only people of the Lamadua clan have this ceremony in Lewaji. (In other villages it also exists. For example in Bakan only the clan Ata Ujan Batkoti has this ceremony.)
There is also a song for the rice stepping ceremony (injak padi)."	14	1:Yes	
SD10_5	levu1239	Are there ritual dances?	1	Yes	"Traditional dances
Dese Rua: can be performed any time, it's a former war dance 
Geka Kelo: only for traditional ceremony when first child is born in the Lamadua clan, is not allowed at other times, see 10.4"	14	1:Yes	
SD10_6	levu1239	Is the language of the ritual songs a language you understand?	1	Yes		14	1:Yes;11:some;10:yes > no	
SD10_7	levu1239	Is the language of the ritual songs a foreign language?	0	No		14	0:No;1:Yes	
SD10_8	levu1239	Do women and men dance together?	1	Yes		14	0:No;1:Yes	
SD10_9	levu1239	Are there traditional ceremonies where men and women must be separated?	1	Yes	"There are many which are only for man but a few for women only. They are:
Geka Kelo:  see 10.4
Tobe Manuk: When a girl wants to get married, she has to sit on a chicken until it is dead, then cook it for her mother to eat. If this is not done, the mother is not allowed to eat chicken prepared by her daughter."	nan	0:No;1:Yes	
SD11_0	levu1239	Is there a ceremony relating to planting/harvesting?	1	Yes	plantig rice, harvesting rice, stepping rice (injak padi)	nan	1:Yes	
SD11_1	levu1239	Did your ancestors arrive in boats?	1	Yes	There are certain clans that came from the islands Lepan Batan by boat because they had to flee from a tsunami which made the islands Lepan Batan disappear.	014 (L2)	0:No;1:Yes;2:some	
SD11_10	levu1239	Does sacrifice involve feeding of ancestors?	1	Yes	In the right corner of the rumah adat (tradition house). This is a normal house but it has a special place for sacrifice.	14	0:No;1:Yes	
SD11_11	levu1239	Is there/are  there (a) ritual place(s)?	1	Yes	liri wana in the tradition house (rumah adat). Pater Henrik Bala, SVD wrote about liri wana, he is now in Afrika (Congo) but comes from Kalikasa.	14	1:Yes	
SD11_2	levu1239	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	levu1239	Is there a myth about the origin of the people?	1	Yes	Each clan has it's origin story. The Pêwut clan is the only one which came out of the earth at a place not far from Lewaji today. The other clans mainly fled from the islands Lepan Batan which were devastated by a tsunami. The biggest clan Wawin fled from Watuwawer because of a pig meat that became stone when they wanted to eat it. People got scared and left.	014 (L2)	0:No;1:Yes	
SD11_4	levu1239	Are there traditional religious leaders or specialists?	1	Yes		14	0:No;1:Yes	
SD11_5	levu1239	Are there traditional drinks, or stimulants?	1	Yes	"tuak 'palm wine'
betenuts
there is a ritual drink mixed by a dukun which is used for rituals but also for healing wounds (it contains chicken blood)."	14	1:Yes	
SD11_6	levu1239	Is there a traditional sacrifice place?	1	Yes	"There is a place for bigger ceremonies. For example people are asking for rain during the raining season when rain is not falling. This ceremony is done at Senara (a palce with a tree and a source).
However every house also can have a place for small sacrifies for ancestors."	14	1:Yes	
SD11_7	levu1239	Are there rituals around birth?	1	Yes	Geka Kelo: only for Lamadua clan, see 10.4	14	0:No;1:Yes	
SD11_8	levu1239	Are there rituals around death?	1	Yes	"Burip: A ceremony to talk to a person which just died. Only a dukun can understand what the person has to say.
Woju Neda: It is a ceremony to find out why a person died. This is happening the next day after the death. At the grave, there will appear signs and the dukun can understand. He will say what he understands. If this is correct, the signs will be vanish but if not yet, there will be new signs appearing."	14	1:Yes	
SD11_9	levu1239	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	Asking for rain.	14	1:Yes	
SD12_0	levu1239	Do women traditionally weave?	1	Yes		M0005	0:No;1:Yes	
SD12_1	levu1239	Is there traditional pottery?	0	No		M0005	0:No;1:Yes	
SD12_2	levu1239	Are there moko?	0	No	"What is moko? 
"	nan	0:No;1:Yes	
SD12_3	levu1239	Is it allowed to exchange the moko?	0	No		nan	0:No;1:Yes	
SD12_4	levu1239	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	levu1239	Are there traditional music instruments?	1	Yes	"bamboo flutes and drums
Keweko Munung: flute made from bamboo, 5 holes (pentatonik)"	14	0:No;1:Yes	
SD12_6	levu1239	Are there particular traditional music styles?	0	No		15	0:No;1:Yes;10:yes > no	
SD13_0	levu1239	Do people use body paint or tattoo?	0	No		15	0:No;1:Yes	
SD13_1	levu1239	Were teeth traditionally filed? (i.e. made shorter with a file)	0	No		15	0:No;1:Yes	
SD13_2	levu1239	Are there typical traditional haircuts?	0	No		15	0:No;1:Yes	
