Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	sawi1256	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No		nan	0:No;1:Yes	
SD10_1	sawi1256	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	sawi1256	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		nan	0:No;1:Yes	
SD10_3	sawi1256	Is the ritual language known by everyone (or just by traditional leaders)?	1	Yes		nan	0:No;1:Yes	
SD10_4	sawi1256	Are there ritual songs?	1	Yes		nan	1:Yes	
SD10_5	sawi1256	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	sawi1256	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	sawi1256	Is the language of the ritual songs a foreign language?	1	Yes		nan	0:No;1:Yes	
SD10_8	sawi1256	Do women and men dance together?	1	Yes		nan	0:No;1:Yes	
SD10_9	sawi1256	Are there traditional ceremonies where men and women must be separated?	1	Yes		nan	0:No;1:Yes	
SD11_0	sawi1256	Is there a ceremony relating to planting/harvesting?	1	Yes		nan	1:Yes	
SD11_1	sawi1256	Did your ancestors arrive in boats?	1	Yes		nan	0:No;1:Yes;2:some	
SD11_10	sawi1256	Does sacrifice involve feeding of ancestors?	1	Yes		nan	0:No;1:Yes	
SD11_11	sawi1256	Is there/are  there (a) ritual place(s)?	1	Yes		nan	1:Yes	
SD11_2	sawi1256	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	1	Yes		nan	0:No;1:Yes	
SD11_3	sawi1256	Is there a myth about the origin of the people?	1	Yes		nan	0:No;1:Yes	
SD11_4	sawi1256	Are there traditional religious leaders or specialists?	1	Yes		nan	0:No;1:Yes	
SD11_5	sawi1256	Are there traditional drinks, or stimulants?	1	Yes		nan	1:Yes	
SD11_6	sawi1256	Is there a traditional sacrifice place?	1	Yes		nan	1:Yes	
SD11_7	sawi1256	Are there rituals around birth?	1	Yes		nan	0:No;1:Yes	
SD11_8	sawi1256	Are there rituals around death?	1	Yes		nan	1:Yes	
SD11_9	sawi1256	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes		nan	1:Yes	
SD12_0	sawi1256	Do women traditionally weave?	0	No		nan	0:No;1:Yes	
SD12_1	sawi1256	Is there traditional pottery?	0	No		nan	0:No;1:Yes	
SD12_2	sawi1256	Are there moko?	1	Yes		nan	0:No;1:Yes	
SD12_3	sawi1256	Is it allowed to exchange the moko?	1	Yes		nan	0:No;1:Yes	
SD12_4	sawi1256	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	sawi1256	Are there traditional music instruments?	1	Yes		nan	0:No;1:Yes	
