Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	teiw1235	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No	There is no specific vocabulary, but there is a taboo on asking someone who goes hunting where he is going. He must just go silently. If they discuss to  go hunting, they say: tomorrow we go close to our ears. When we go fishing, it is also not allowed to ask where we go.	nan	0:No;1:Yes	
SD10_1	teiw1235	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	teiw1235	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes	an example of ritual speech is  given; transcript and translation in a separate word file.	nan	0:No;1:Yes	
SD10_3	teiw1235	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	Only traditional leaders know it.	nan	0:No;1:Yes	
SD10_4	teiw1235	Are there ritual songs?	1	Yes	An example of a poem is given, used when the parents of a young couple meet to discuss the future marriage. Transcript and translation in seperate word file.	nan	1:Yes	
SD10_5	teiw1235	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	teiw1235	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	teiw1235	Is the language of the ritual songs a foreign language?	1	Yes	Mostly from Western Pantar as we fled from there.	nan	0:No;1:Yes	
SD10_8	teiw1235	Do women and men dance together?	0	No	Women in the middle, men around them. Clip 9; 2:00 vv explanation when they lego-lego and what they dance, and how many rounds, when a bride arrives. In that case they are only allowed to dance after sunrise. In other cases, e.g. when a new house is built they can also dance at night.	nan	0:No;1:Yes	
SD10_9	teiw1235	Are there traditional ceremonies where men and women must be separated?	1	Yes	Discussions of bride price are only done by the men.	nan	0:No;1:Yes	
SD11_0	teiw1235	Is there a ceremony relating to planting/harvesting?	1	Yes	There is a song they sing when planting the garden.  On Clip 9; 6 mins, they sing it together. There is a song they sing when harvesting, Clip 9; 7; and a song they sing when going home after harvesting; clip 9; 10 mins; nice!!	nan	1:Yes	
SD11_1	teiw1235	Did your ancestors arrive in boats?	0	No	On Clip 2, 6:42-10 mins they explain that the Teiwa originate from Western Pantar. When there was a flood (tsunami) there, the people got up and left, and went to stay in Lebang. At the time there were also other people there. The Kakalau came following us. The Kakamoto stayed in West Pantar. Over here, there were the Lauwan. We had been looking for a place to stay till Bakalang, but did not find it, and when we met the Lauwan they said we could stay. We followed the river up to Lebang and stayed there.  	nan	0:No;1:Yes;2:some	
SD11_10	teiw1235	Does sacrifice involve feeding of ancestors?	1	Yes		nan	0:No;1:Yes	
SD11_11	teiw1235	Is there/are  there (a) ritual place(s)?	1	Yes	place for lego-lego, building adat meetings (rumah sulung); uur mount of stones functioning as altar.	nan	1:Yes	
SD11_2	teiw1235	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	teiw1235	Is there a myth about the origin of the people?	1	Yes	The Lau Wan clan grew out of the earth. About the other clans, we don't know.	nan	0:No;1:Yes	
SD11_4	teiw1235	Are there traditional religious leaders or specialists?	1	Yes	In the past, before Christianity, moko were given food. There were one or two people who knew how to say the formula that goes with it. Clip 10, 4 mins What is the name of this person?	nan	0:No;1:Yes	
SD11_5	teiw1235	Are there traditional drinks, or stimulants?	1	Yes	tuax 'tuak van enau palm', sirih pinang.	nan	1:Yes	
