Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	tetu1245	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	1	Yes	Bakasa = to hunt. At 14:14 he gives a speech in Tetun Terik to warn hunting participants to listen to each other, not swear, so that we will get what we want.	nan	0:No;1:Yes	
SD10_1	tetu1245	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	tetu1245	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes	See answer to 7 for an example.	nan	0:No;1:Yes	
SD10_3	tetu1245	Is the ritual language known by everyone (or just by traditional leaders)?	1	Yes	Everyone understands the language used in ceremonies and traditional stories. Eik nanoik = traditional stories.	nan	0:No;1:Yes	
SD10_4	tetu1245	Are there ritual songs?	1	Yes		nan	1:Yes	
SD10_5	tetu1245	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	tetu1245	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	tetu1245	Is the language of the ritual songs a foreign language?	0	No		nan	0:No;1:Yes	
SD10_8	tetu1245	Do women and men dance together?	1	Yes	Men and women can dance a lego-lego in a mixed fashion, with man-woman-man-woman etc.	nan	0:No;1:Yes	
SD10_9	tetu1245	Are there traditional ceremonies where men and women must be separated?	1	Yes	In the rumah adat, men and women must meet separately.	nan	0:No;1:Yes	
SD11_0	tetu1245	Is there a ceremony relating to planting/harvesting?	1	Yes	This answer is given around question 10.3, where he explains about the ritual and the language used.The ritual takes place every year before the harvest and involves cutting up a  goat or a pig and the meat is lifted up, and a prayer is said to the sacred objects in the rumah adat and the ancestors (around 01:07; another one at 01:30, with free translation in Indonesian.)	nan	1:Yes	
SD11_1	tetu1245	Did your ancestors arrive in boats?	0	No		nan	0:No;1:Yes;2:some	
SD11_10	tetu1245	Does sacrifice involve feeding of ancestors?	1	Yes		nan	0:No;1:Yes	
SD11_11	tetu1245	Is there/are  there (a) ritual place(s)?	1	Yes	the rumah adat but also the land where crops are planted	nan	1:Yes	
SD11_2	tetu1245	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	tetu1245	Is there a myth about the origin of the people?	0	No		nan	0:No;1:Yes	
SD11_4	tetu1245	Are there traditional religious leaders or specialists?	1	Yes		nan	0:No;1:Yes	
SD11_5	tetu1245	Are there traditional drinks, or stimulants?	1	Yes	Rice wine, sirih pinang	nan	1:Yes	
SD11_6	tetu1245	Is there a traditional sacrifice place?	1	Yes	The rumah adat.	nan	1:Yes	
