Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	wers1238	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0	No		nan	0:No;1:Yes	
SD10_1	wers1238	Is there ritual speech?	1	Yes	During rituals there are things that must be said. But they are said in plain (daily) Wersing. 	nan	0:No;1:Yes	
SD10_2	wers1238	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		nan	0:No;1:Yes	
SD10_3	wers1238	Is the ritual language known by everyone (or just by traditional leaders)?	1	Yes	It's plain everyday Wersing 	nan	0:No;1:Yes	
SD10_4	wers1238	Are there ritual songs?	1	Yes		nan	1:Yes	
SD10_5	wers1238	Are there ritual dances?	1	Yes		nan	1:Yes	
SD10_6	wers1238	Is the language of the ritual songs a language you understand?	1	Yes		nan	1:Yes;11:some;10:yes > no	
SD10_7	wers1238	Is the language of the ritual songs a foreign language?	1	Yes	The languages from neighbouring places are also used. e.g. Kula. 	nan	0:No;1:Yes	
SD10_8	wers1238	Do women and men dance together?	1	Yes	During lego-lego the men and women must stand side by side	nan	0:No;1:Yes	
SD10_9	wers1238	Are there traditional ceremonies where men and women must be separated?	0	No		nan	0:No;1:Yes	
SD11_0	wers1238	Is there a ceremony relating to planting/harvesting?	1	Yes		nan	1:Yes	
SD11_1	wers1238	Did your ancestors arrive in boats?	1	Yes		nan	0:No;1:Yes;2:some	
SD11_10	wers1238	Does sacrifice involve feeding of ancestors?	1	Yes	In the past it happened but not now. Rice and meat was offered. 	nan	0:No;1:Yes	
SD11_11	wers1238	Is there/are  there (a) ritual place(s)?	1	Yes	In Kolana there is an altar	nan	1:Yes	
SD11_2	wers1238	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	1	Yes	It is said they came as a crocodile. Now, if these people lose an object they can call upon the crocodiles to catch the person because they can speak to crocodiles (because their ancestors were crocodile)	nan	0:No;1:Yes	
SD11_3	wers1238	Is there a myth about the origin of the people?	1	Yes	They, for some reason, kept avoiding telling the tale (crocodile above) and I could not keep pressing. Perhaps because they feel they know where they came from i.e. Pantar and that's enough. 	nan	0:No;1:Yes	
SD11_4	wers1238	Are there traditional religious leaders or specialists?	0	No	The king is the leader of tradition. 	nan	0:No;1:Yes	
SD11_5	wers1238	Are there traditional drinks, or stimulants?	1	Yes	Food: Tembakau iris, daun koi (lontar), sirih pinang. Drinks: Tuak/sopi	nan	1:Yes	
SD11_6	wers1238	Is there a traditional sacrifice place?	1	Yes	Like an altar where all the warriors and the king gather and shoot and arrow to sacrifice the animal.	nan	1:Yes	
SD11_7	wers1238	Are there rituals around birth?	1	Yes	"couldn't get the Wersing expression but the translation is: ""satu minggu kokok keluar"". One week after the birth of a child, they throw a big party where they shave the child's hair. Now this doesn't happen anymore. The priest comes to pray for the child."	nan	0:No;1:Yes	
SD11_8	wers1238	Are there rituals around death?	1	Yes	"To the wood gatherers that will make the coffin, the family of the deceased will hold a ritual where they offer tools, sopi, rice and meat (pork) and charge them to find the wood needed to make the coffin. Words: boŋkoŋ boŋ lur boŋ kwai kul spir a mai ne pəri mətiarrɛŋ ""Go look for wood, straight or bent, make a ship (coffin) and come back to us"". When they come back with the coffin, they give more gifts. "	nan	1:Yes	
SD11_9	wers1238	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	But I don't know them because it's so long ago. It doesn't happen now. From what I know, when it is harvest season, they gather and sing while holdings hands, they stomp on the rice grains together to clean it of the husks. It is gathered and cooked to feed people. 	nan	1:Yes	
SD12_0	wers1238	Do women traditionally weave?	1	Yes	It follows the ancestors designs	nan	0:No;1:Yes	
SD12_1	wers1238	Is there traditional pottery?	1	Yes	In the past we made those but no more.	nan	0:No;1:Yes	
SD12_2	wers1238	Are there moko?	1	Yes		nan	0:No;1:Yes	
SD12_3	wers1238	Is it allowed to exchange the moko?	1	Yes		nan	0:No;1:Yes	
