CultureBank ID	Feature	Possible Values	Clarifying Comments	Domain	Feature patron	Suggested standardised comments	Feature prompt in Indonesian	Very hard to deny	Prone to misunderstandings among researchers	Last edited	ID/Reference according to other cultural databases	db_Object	db_Domain	Feature question in Indonesian
SD10_0	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	0:No;1:Yes		Registers			Ada kata-kata yg khususnya dipakai dalam rangka perburuan atau perikanan? Ada kata-kata yg dilarang dipakai dalam rangka itu?			26/09/2016 09:54		Are there specific vocabularies for hunting or use in the presence of avoidance kin?	{'?': <DomainElement 'SD10_0-?'>, '0': <DomainElement 'SD10_0-0'>, '1': <DomainElement 'SD10_0-1'>}	
SD10_1	Is there ritual speech?	0:No;1:Yes		Registers			Apakah ada bahasa adat?			26/09/2016 09:54		Is there ritual speech?	{'?': <DomainElement 'SD10_1-?'>, '0': <DomainElement 'SD10_1-0'>, '1': <DomainElement 'SD10_1-1'>}	
SD10_2	Does the ritual speech involve parallellisms, dual symbolic categories?	0:No;1:Yes		Registers			"Tolong kasih contoh bahasa adat itu? Contoh: pernikahan = ""jalan baru, jejak segar"" "			26/09/2016 09:54		Does the ritual speech involve parallellisms, dual symbolic categories?	{'?': <DomainElement 'SD10_2-?'>, '0': <DomainElement 'SD10_2-0'>, '1': <DomainElement 'SD10_2-1'>}	
SD10_3	Is the ritual language known by everyone (or just by traditional leaders)?	0:No;1:Yes		Registers			Apakah bahasa adat itu diketahui oleh semua orang atau oleh hanya ketua adat?			26/09/2016 09:54		Is the ritual language known by everyone (or just by traditional leaders)?	{'?': <DomainElement 'SD10_3-?'>, '0': <DomainElement 'SD10_3-0'>, '1': <DomainElement 'SD10_3-1'>}	
SD10_4	Are there ritual songs?	1:Yes		Registers			Apakah ada nyanyian adat? Contoh?			26/09/2016 09:54		Are there ritual songs?	{'?': <DomainElement 'SD10_4-?'>, '1': <DomainElement 'SD10_4-1'>}	
SD10_5	Are there ritual dances?	1:Yes		Registers			Apakah ada lego-lego? 			26/09/2016 09:54		Are there ritual dances?	{'?': <DomainElement 'SD10_5-?'>, '1': <DomainElement 'SD10_5-1'>}	
SD10_6	Is the language of the ritual songs a language you understand?	1:Yes;11:some;10:yes > no		Registers			Apakah bapak bisa mengerti kata-kata nyanyian adat atau lego-lego? 			26/09/2016 09:54		Is the language of the ritual songs a language you understand?	{'10': <DomainElement 'SD10_6-10'>, '?': <DomainElement 'SD10_6-?'>, '11': <DomainElement 'SD10_6-11'>, '1': <DomainElement 'SD10_6-1'>}	
SD10_7	Is the language of the ritual songs a foreign language?	0:No;1:Yes		Registers			Apakah kata-kata di nyanyian adat sebenarnya dari bahasa orang / suku lain?			26/09/2016 09:54		Is the language of the ritual songs a foreign language?	{'?': <DomainElement 'SD10_7-?'>, '0': <DomainElement 'SD10_7-0'>, '1': <DomainElement 'SD10_7-1'>}	
SD10_8	Do women and men dance together?	0:No;1:Yes		Registers			Apakah perempuan dan laki-laki boleh lego-lego bersama? Bagaimana caranya?			26/09/2016 09:54		Do women and men dance together?	{'?': <DomainElement 'SD10_8-?'>, '0': <DomainElement 'SD10_8-0'>, '1': <DomainElement 'SD10_8-1'>}	
SD10_9	Are there traditional ceremonies where men and women must be separated?	0:No;1:Yes		Registers			Apakah ada upacara adat hanya untuk laki-laki, perempuan dilarang ikut? Ada upacara hanya untuk perempuan?			26/09/2016 09:54		Are there traditional ceremonies where men and women must be separated?	{'?': <DomainElement 'SD10_9-?'>, '0': <DomainElement 'SD10_9-0'>, '1': <DomainElement 'SD10_9-1'>}	
SD11_0	Is there a ceremony relating to planting/harvesting?	1:Yes		Rituals and myths 			Apakah ada upacara adat yang berkaitan dengan pertanian dan panen? Pada saat apa saja upacara adat itu dilakukan? Apa nama nama upacara-upacara adat itu? apa saja perlengkapan yang diperlukan? Bagaimana melaksanakan upacara adat? 			26/09/2016 09:54		Is there a ceremony relating to planting/harvesting?	{'?': <DomainElement 'SD11_0-?'>, '1': <DomainElement 'SD11_0-1'>}	
SD11_1	Did your ancestors arrive in boats?	0:No;1:Yes;2:some		Rituals and myths 			Nenek moyang dari dulu datang dengan perahu?			26/09/2016 09:54		Did your ancestors arrive in boats?	{'?': <DomainElement 'SD11_1-?'>, '2': <DomainElement 'SD11_1-2'>, '0': <DomainElement 'SD11_1-0'>, '1': <DomainElement 'SD11_1-1'>}	
SD11_10	Does sacrifice involve feeding of ancestors?	0:No;1:Yes		Rituals and myths 			Pengorbanan yang diberikan itu adalah makanan untuk nenek moyang? 			26/09/2016 09:54		Does sacrifice involve feeding of ancestors?	{'?': <DomainElement 'SD11_10-?'>, '0': <DomainElement 'SD11_10-0'>, '1': <DomainElement 'SD11_10-1'>}	
SD11_11	Is there/are  there (a) ritual place(s)?	1:Yes		Rituals and myths 			Apakah ada tempat untuk melakukan ritual adat?			26/09/2016 09:54		Is there/are  there (a) ritual place(s)?	{'?': <DomainElement 'SD11_11-?'>, '1': <DomainElement 'SD11_11-1'>}	
SD11_2	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0:No;1:Yes		Rituals and myths 			Apakah nenek moyang menurut ceritera adat merupakan ikan hiu, buaya, kura-kura, ikan lumba-lumba, atau binatang yang lain? 			26/09/2016 09:54		Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	{'?': <DomainElement 'SD11_2-?'>, '0': <DomainElement 'SD11_2-0'>, '1': <DomainElement 'SD11_2-1'>}	
SD11_3	Is there a myth about the origin of the people?	0:No;1:Yes	Record example with translation, preferably glossed.	Rituals and myths 			Apakah ada mitos/cerita rakyat/legenda tentang asal-usul orang di desa ini? Bagaimana ceritanya?			26/09/2016 09:54		Is there a myth about the origin of the people?	{'?': <DomainElement 'SD11_3-?'>, '0': <DomainElement 'SD11_3-0'>, '1': <DomainElement 'SD11_3-1'>}	
SD11_4	Are there traditional religious leaders or specialists?	0:No;1:Yes	Give names/titles for these.	Rituals and myths 			Apakah ada pemimpin agama/ahli agama adat? Dia disebut apa?			26/09/2016 09:54		Are there traditional religious leaders or specialists?	{'?': <DomainElement 'SD11_4-?'>, '0': <DomainElement 'SD11_4-0'>, '1': <DomainElement 'SD11_4-1'>}	
SD11_5	Are there traditional drinks, or stimulants?	1:Yes	Rice wine, sirih pinang...	Rituals and myths 			Apakah ada minuman tradisional atau minuman kesehatan tradisional? Apa nama minumannya? Terbuat dari apa minuman-minuman ini?			26/09/2016 09:54		Are there traditional drinks, or stimulants?	{'?': <DomainElement 'SD11_5-?'>, '1': <DomainElement 'SD11_5-1'>}	
SD11_6	Is there a traditional sacrifice place?	1:Yes		Rituals and myths 			Adat tempat pengorbaan adat?			26/09/2016 09:54		Is there a traditional sacrifice place?	{'?': <DomainElement 'SD11_6-?'>, '1': <DomainElement 'SD11_6-1'>}	
SD11_7	Are there rituals around birth?	0:No;1:Yes		Rituals and myths 			Apakah ada ritual adat saat sebelum atau sesudah melahirkan? bagaimana ritualnya/			26/09/2016 09:54		Are there rituals around birth?	{'?': <DomainElement 'SD11_7-?'>, '0': <DomainElement 'SD11_7-0'>, '1': <DomainElement 'SD11_7-1'>}	
SD11_8	Are there rituals around death?	1:Yes		Rituals and myths 			Apakah ada ritual adat saat kematian seseorang? Bagaimana ritualnya?			26/09/2016 09:54		Are there rituals around death?	{'?': <DomainElement 'SD11_8-?'>, '1': <DomainElement 'SD11_8-1'>}	
SD11_9	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1:Yes		Rituals and myths 			Apakah ada ritual adat musiman, selain ritual tentang penanaman dan pemanenan, contohnya ritual minta hujan?			26/09/2016 09:54		Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	{'?': <DomainElement 'SD11_9-?'>, '1': <DomainElement 'SD11_9-1'>}	
SD12_0	Do women traditionally weave?	0:No;1:Yes		Material culture 			Apakah ibu-ibu di sini tahu menenun? Cara menenun itu, ikut cara adat dari nenek moyang di sini, atau caranya diambil dari orang lain?			26/09/2016 09:54		Do women traditionally weave?	{'?': <DomainElement 'SD12_0-?'>, '0': <DomainElement 'SD12_0-0'>, '1': <DomainElement 'SD12_0-1'>}	
SD12_1	Is there traditional pottery?	0:No;1:Yes		Material culture 			Apakah ada hasil kerajinan tanah liat tradisional? Apa saja hasil kerajinannya? Apakah untuk dijual atau digunakan sendiri?			26/09/2016 09:54		Is there traditional pottery?	{'?': <DomainElement 'SD12_1-?'>, '0': <DomainElement 'SD12_1-0'>, '1': <DomainElement 'SD12_1-1'>}	
SD12_2	Are there moko?	0:No;1:Yes		Material culture 			Apakah ada moko?			26/09/2016 09:54		Are there moko?	{'?': <DomainElement 'SD12_2-?'>, '0': <DomainElement 'SD12_2-0'>, '1': <DomainElement 'SD12_2-1'>}	
SD12_3	Is it allowed to exchange the moko?	0:No;1:Yes		Material culture 			Apakah moko diberikan 			26/09/2016 09:54		Is it allowed to exchange the moko?	{'?': <DomainElement 'SD12_3-?'>, '0': <DomainElement 'SD12_3-0'>, '1': <DomainElement 'SD12_3-1'>}	
SD12_4	Are there people who make new moko?	0:No		Material culture 			Apakah ada orang yang membuat moko baru?			26/09/2016 09:54		Are there people who make new moko?	{'?': <DomainElement 'SD12_4-?'>, '0': <DomainElement 'SD12_4-0'>}	
SD12_5	Are there traditional music instruments?	0:No;1:Yes		Material culture 			Apakah ada alat-alat musik tradisional?			26/09/2016 09:54		Are there traditional music instruments?	{'?': <DomainElement 'SD12_5-?'>, '0': <DomainElement 'SD12_5-0'>, '1': <DomainElement 'SD12_5-1'>}	
